总台,#genre#
双鸭山.饶河综合, https://rmplive.hljtv.com/live/raohe.m3u8
双鸭山.友谊综合, https://rmplive.hljtv.com/live/youyi.m3u8
绥化新闻综合, https://rmplive.hljtv.com/live/suihua.m3u8
绥化.海伦市综合频道, https://rmplive.hljtv.com/live/hailun.m3u8
绥化.兰西综合频道, https://rmplive.hljtv.com/live/lanxi.m3u8
绥化.明水综合, https://rmplive.hljtv.com/live/mingshui.m3u8
绥化.青冈综合, https://rmplive.hljtv.com/live/qinggang.m3u8
绥化.庆安县综合频道, https://rmplive.hljtv.com/live/qingan.m3u8
绥化.绥棱综合, https://rmplive.hljtv.com/live/suileng.m3u8
绥化.望奎综合频道, https://rmplive.hljtv.com/live/wangkui.m3u8
绥化.肇东综合, https://rmplive.hljtv.com/live/zhaodong.m3u8
伊春综合, https://rmplive.hljtv.com/live/yichun.m3u8
伊春.嘉荫综合, https://rmplive.hljtv.com/live/jiayin.m3u8
伊春.铁力综合, https://rmplive.hljtv.com/live/tieli.m3u8

湖北,#genre#
武汉教育, http://stream.appwuhan.com/jyzb/sd/live.m3u8
武汉科教生活, http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉文体, http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉新闻综合, http://stream.appwuhan.com/1tzb/sd/live.m3u8
武汉.江夏新闻综合, http://59.175.226.142:280/gb28181/xwzh.m3u8
十堰新闻综合, http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
十堰经济旅游, http://p8.vzan.com/slowlive/701367497774448672/live.m3u8

湖南,#genre#
金鹰纪实, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226198/index.m3u8
金鹰卡通, http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225721/index.m3u8

吉林,#genre#
长春.德惠综合, http://stream11.jlntv.cn/dehuitv/sd/live.m3u8
长春.九台综合, http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8
长春.双阳综合, http://stream11.jlntv.cn/shuangyang/sd/live.m3u8
白山.江源1, http://stream10.jlntv.cn/jiangyuantv/sd/live.m3u8
白山.靖宇综合, http://stream8.jlntv.cn/jytv/sd/live.m3u8
白山.松原生活, http://stream8.jlntv.cn/sytv2/sd/live.m3u8
吉林.桦甸综合频道, http://stream10.jlntv.cn/huadian/sd/live.m3u8
吉林.磐石综合频道, http://stream5.jlntv.cn/ps/sd/live.m3u8
吉林.永吉综合, http://stream10.jlntv.cn/yongji/sd/live.m3u8
通化.辉南新闻综合, http://stream5.jlntv.cn/hn/sd/live.m3u8
通化.通化县综合, http://stream5.jlntv.cn/thx/sd/live.m3u8
延边1台, https://live.ybtvyun.com/video/s10006-ff4eb5dba33d/index.m3u8
